,fighter,salary,year,Unnamed: 0,first_name,last_name,height,weight,stance,wins,losses,draws,number_of_fights,full_name,gender,current_or_former_champ
139,Joe Lauzon,"$264,000 ",2012,35,Joe,Lauzon,"5' 10""",155,Orthodox,28,16,0,44,Joe Lauzon,m,f
140,Joe Lauzon,"$264,000 ",2013,35,Joe,Lauzon,"5' 10""",155,Orthodox,28,16,0,44,Joe Lauzon,m,f
141,Joe Lauzon,"$116,000 ",2014,35,Joe,Lauzon,"5' 10""",155,Orthodox,28,16,0,44,Joe Lauzon,m,f
142,Joe Lauzon,"$192,000 ",2015,35,Joe,Lauzon,"5' 10""",155,Orthodox,28,16,0,44,Joe Lauzon,m,f
143,Joe Lauzon,"$314,000 ",2016,35,Joe,Lauzon,"5' 10""",155,Orthodox,28,16,0,44,Joe Lauzon,m,f
144,Joe Lauzon,"$300,000 ",2017,35,Joe,Lauzon,"5' 10""",155,Orthodox,28,16,0,44,Joe Lauzon,m,f
145,Joe Lauzon,"$82,000 ",2018,35,Joe,Lauzon,"5' 10""",155,Orthodox,28,16,0,44,Joe Lauzon,m,f
146,Joe Lauzon,"$160,000 ",2019,35,Joe,Lauzon,"5' 10""",155,Orthodox,28,16,0,44,Joe Lauzon,m,f
147,Nate Marquardt,"$240,000 ",2010,73,Nate,Marquardt,"6' 0""",185,Orthodox,35,19,2,56,Nate Marquardt,m,f
148,Nate Marquardt,"$90,000 ",2011,73,Nate,Marquardt,"6' 0""",185,Orthodox,35,19,2,56,Nate Marquardt,m,f
149,Nate Marquardt,"$130,000 ",2014,73,Nate,Marquardt,"6' 0""",185,Orthodox,35,19,2,56,Nate Marquardt,m,f
150,Nate Marquardt,"$216,000 ",2015,73,Nate,Marquardt,"6' 0""",185,Orthodox,35,19,2,56,Nate Marquardt,m,f
151,Nate Marquardt,"$258,000 ",2016,73,Nate,Marquardt,"6' 0""",185,Orthodox,35,19,2,56,Nate Marquardt,m,f
152,Nate Marquardt,"$264,000 ",2017,73,Nate,Marquardt,"6' 0""",185,Orthodox,35,19,2,56,Nate Marquardt,m,f
153,Jon Fitch,"$228,000 ",2010,52,Jon,Fitch,"6' 0""",170,Orthodox,30,7,1,38,Jon Fitch,m,f
154,Jon Fitch,"$120,000 ",2011,52,Jon,Fitch,"6' 0""",170,Orthodox,30,7,1,38,Jon Fitch,m,f
155,Jon Fitch,"$190,000 ",2012,52,Jon,Fitch,"6' 0""",170,Orthodox,30,7,1,38,Jon Fitch,m,f
156,Jon Fitch,"$190,000 ",2013,52,Jon,Fitch,"6' 0""",170,Orthodox,30,7,1,38,Jon Fitch,m,f
157,Kenny Florian,"$225,000 ",2010,61,Kenny,Florian,"5' 10""",145,Southpaw,14,6,0,20,Kenny Florian,m,f
158,Kenny Florian,"$195,000 ",2011,61,Kenny,Florian,"5' 10""",145,Southpaw,14,6,0,20,Kenny Florian,m,f
159,Rich Franklin,"$225,000 ",2010,84,Rich,Franklin,"6' 1""",185,Southpaw,29,7,0,36,Rich Franklin,m,t
160,Rich Franklin,"$75,000 ",2011,84,Rich,Franklin,"6' 1""",185,Southpaw,29,7,0,36,Rich Franklin,m,t
161,Rich Franklin,"$290,000 ",2012,84,Rich,Franklin,"6' 1""",185,Southpaw,29,7,0,36,Rich Franklin,m,t
162,Rich Franklin,"$290,000 ",2013,84,Rich,Franklin,"6' 1""",185,Southpaw,29,7,0,36,Rich Franklin,m,t
163,Yoshihiro Akiyama,"$225,000 ",2010,27,Yoshihiro,Akiyama,"5' 10""",170,Orthodox,14,6,0,20,Yoshihiro Akiyama,m,f
164,Yoshihiro Akiyama,"$45,000 ",2011,27,Yoshihiro,Akiyama,"5' 10""",170,Orthodox,14,6,0,20,Yoshihiro Akiyama,m,f
165,Yoshihiro Akiyama,"$45,000 ",2012,27,Yoshihiro,Akiyama,"5' 10""",170,Orthodox,14,6,0,20,Yoshihiro Akiyama,m,f
166,Yoshihiro Akiyama,"$45,000 ",2013,27,Yoshihiro,Akiyama,"5' 10""",170,Orthodox,14,6,0,20,Yoshihiro Akiyama,m,f
167,Yoshihiro Akiyama,"$70,000 ",2014,27,Yoshihiro,Akiyama,"5' 10""",170,Orthodox,14,6,0,20,Yoshihiro Akiyama,m,f
168,Yoshihiro Akiyama,"$55,000 ",2015,27,Yoshihiro,Akiyama,"5' 10""",170,Orthodox,14,6,0,20,Yoshihiro Akiyama,m,f
169,Diego Sanchez,"$220,000 ",2010,36,Diego,Sanchez,"5' 10""",170,Southpaw,31,13,0,44,Diego Sanchez,m,f
170,Diego Sanchez,"$270,000 ",2011,36,Diego,Sanchez,"5' 10""",170,Southpaw,31,13,0,44,Diego Sanchez,m,f
171,Diego Sanchez,"$110,000 ",2012,36,Diego,Sanchez,"5' 10""",170,Southpaw,31,13,0,44,Diego Sanchez,m,f
172,Diego Sanchez,"$110,000 ",2013,36,Diego,Sanchez,"5' 10""",170,Southpaw,31,13,0,44,Diego Sanchez,m,f
173,Diego Sanchez,"$210,000 ",2014,36,Diego,Sanchez,"5' 10""",170,Southpaw,31,13,0,44,Diego Sanchez,m,f
174,Diego Sanchez,"$95,000 ",2015,36,Diego,Sanchez,"5' 10""",170,Southpaw,31,13,0,44,Diego Sanchez,m,f
175,Diego Sanchez,"$450,000 ",2016,36,Diego,Sanchez,"5' 10""",170,Southpaw,31,13,0,44,Diego Sanchez,m,f
176,Diego Sanchez,"$230,000 ",2017,36,Diego,Sanchez,"5' 10""",170,Southpaw,31,13,0,44,Diego Sanchez,m,f
177,Diego Sanchez,"$210,000 ",2018,36,Diego,Sanchez,"5' 10""",170,Southpaw,31,13,0,44,Diego Sanchez,m,f
178,Diego Sanchez,"$391,000 ",2019,36,Diego,Sanchez,"5' 10""",170,Southpaw,31,13,0,44,Diego Sanchez,m,f
179,Diego Sanchez,"$353,000 ",2020,36,Diego,Sanchez,"5' 10""",170,Southpaw,31,13,0,44,Diego Sanchez,m,f
180,Chael Sonnen,"$219,000 ",2010,279,Chael,Sonnen,"6' 1""",205,Southpaw,29,15,1,45,Chael Sonnen,m,f
181,Chael Sonnen,"$70,000 ",2011,279,Chael,Sonnen,"6' 1""",205,Southpaw,29,15,1,45,Chael Sonnen,m,f
182,Chael Sonnen,"$150,000 ",2012,279,Chael,Sonnen,"6' 1""",205,Southpaw,29,15,1,45,Chael Sonnen,m,f
183,Chael Sonnen,"$150,000 ",2013,279,Chael,Sonnen,"6' 1""",205,Southpaw,29,15,1,45,Chael Sonnen,m,f
